Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K1123,Overture - Global,4.3E+16,air france airline,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.53,1553.00,943.10,0.61,52774.00,0.03,1.92,0.01,55.48,16010.60,943.10,17.00
K1122,Overture - US,4.3E+16,airfrance,Standard,Unassigned,Unassigned,airfrance,,Unassigned,Paused,7.50,5637.00,4409.19,0.78,184486.00,0.03,1.81,0.01,61.24,74759.20,4409.19,72.00
K1122,Overture - US,4.3E+16,air france reservation,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.60,342.00,213.30,0.62,9978.00,0.03,1.26,0.01,106.65,3610.80,213.30,2.00
K435,Google - US,4.3E+16,flights to florence,Broad,Western Europe Destinations,Florence,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.00,131.00,176.81,1.35,3441.00,0.04,4.89,0.03,44.20,2956.30,176.81,4.00
K2615,Yahoo - US,4.3E+16,air france airline,Advanced,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,6.25,1891.00,986.11,0.52,14438.00,0.13,1.43,0.01,70.44,16116.00,986.11,14.00
K2615,Yahoo - US,4.3E+16,paris travel deal,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,136.00,200.90,1.48,7192.00,0.02,1.00,0.01,100.45,3280.15,200.90,2.00
K435,Google - US,4.3E+16,air france airline,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,18.75,770.00,774.61,1.01,6057.00,0.13,1.29,0.02,64.55,12588.50,774.61,12.00
K1175,Google - Global,4.3E+16,air france airline,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Unavailable,5.00,34.00,81.44,2.40,397.00,0.09,1.55,0.03,81.44,1317.50,81.44,1.00
K435,Google - US,4.3E+16,air france tickets paris,Broad,Paris & France Terms,Paris Branded,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,15.00,20.00,51.43,2.57,72.00,0.28,1.01,0.05,51.43,805.80,51.43,1.00
K2615,Yahoo - US,4.3E+16,european airline,Advanced,Western Europe Destinations,Europe,uncategorized,,Unassigned,Paused,6.25,19.00,33.90,1.78,634.00,0.03,1.46,0.05,33.90,516.80,33.90,1.00
