Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K1123,Overture - Global,4.3E+16,trip in france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.30,3.00,0.75,0.25,310.00,0.01,2.66,0.00,0.00,0.00,0.75,0.00
K1123,Overture - Global,4.3E+16,france travel agency,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.30,7.00,1.95,0.28,619.00,0.01,3.30,0.00,0.00,0.00,1.95,0.00
K1123,Overture - Global,4.3E+16,france travel information,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.30,5.00,2.94,0.59,879.00,0.01,3.14,0.00,0.00,0.00,2.94,0.00
K1122,Overture - US,4.3E+16,france air line,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.30,3.00,1.06,0.35,266.00,0.01,1.99,0.00,0.00,0.00,1.06,0.00
K1122,Overture - US,4.3E+16,greece cheap ticket,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.30,38.00,32.82,0.86,816.00,0.05,2.64,0.00,0.00,0.00,32.82,0.00
K1122,Overture - US,4.3E+16,paris tourism,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.30,76.00,50.22,0.66,3682.00,0.02,2.14,0.00,0.00,0.00,50.22,0.00
K1123,Overture - Global,4.3E+16,bastia flight,Standard,Unassigned,Unassigned,bastia,Position 1-2 Target,Unassigned,Paused,0.31,1.00,0.31,0.31,290.00,0.00,2.05,0.00,0.00,0.00,0.31,0.00
K1123,Overture - Global,4.3E+16,avignon flight,Standard,Unassigned,Unassigned,avignon,Position 1-2 Target,Unassigned,Paused,0.31,3.00,0.98,0.33,315.00,0.01,2.20,0.00,0.00,0.00,0.98,0.00
K1122,Overture - US,4.3E+16,cheap trip to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.31,5.00,2.56,0.51,58.00,0.09,3.85,0.00,0.00,0.00,2.56,0.00
K1122,Overture - US,4.3E+16,airline ticketing,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.31,6.00,2.85,0.48,1206.00,0.01,4.10,0.00,0.00,0.00,2.85,0.00
K1122,Overture - US,4.3E+16,paris flight deal,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.31,8.00,7.80,0.98,84.00,0.10,2.07,0.00,0.00,0.00,7.80,0.00
K1122,Overture - US,4.3E+16,cheap airfare to frankfurt,Advanced,Unassigned,Unassigned,frankfurt,Position 5-10 Bid Strategy,Unassigned,Paused,0.31,19.00,9.94,0.52,220.00,0.09,2.00,0.00,0.00,0.00,9.94,0.00
K1122,Overture - US,4.3E+16,cheap european airfare,Advanced,Unassigned,Unassigned,europe,Position 5-10 Bid Strategy,Unassigned,Paused,0.31,33.00,21.21,0.64,1019.00,0.03,1.76,0.00,0.00,0.00,21.21,0.00
K1123,Overture - Global,4.3E+16,newark to paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.33,3.00,0.77,0.26,276.00,0.01,2.66,0.00,0.00,0.00,0.77,0.00
K1123,Overture - Global,4.3E+16,new york to lyon,Advanced,Unassigned,Unassigned,lyon,Position 1-2 Target,Unassigned,Paused,0.33,6.00,1.80,0.30,1315.00,0.00,3.07,0.00,0.00,0.00,1.80,0.00
K1122,Overture - US,4.3E+16,chicago to venice,Advanced,Unassigned,Unassigned,chicago,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,1.00,0.13,0.13,190.00,0.01,4.66,0.00,0.00,0.00,0.13,0.00
K1122,Overture - US,4.3E+16,air fare prices,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,3.00,1.19,0.40,297.00,0.01,3.84,0.00,0.00,0.00,1.19,0.00
K1122,Overture - US,4.3E+16,air line ticket cheap,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,3.00,1.96,0.65,907.00,0.00,3.59,0.00,0.00,0.00,1.96,0.00
K1122,Overture - US,4.3E+16,airline ticket web site,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,5.00,4.60,0.92,673.00,0.01,5.64,0.00,0.00,0.00,4.60,0.00
K1122,Overture - US,4.3E+16,air ticket to paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.33,7.00,5.59,0.80,187.00,0.04,1.96,0.00,0.00,0.00,5.59,0.00
K1122,Overture - US,4.3E+16,airline ticket cheap flight,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,6.00,8.06,1.34,9177.00,0.00,3.62,0.00,0.00,0.00,8.06,0.00
K1122,Overture - US,4.3E+16,airline ticket cheap prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,41.00,10.95,0.27,58738.00,0.00,1.04,0.00,0.00,0.00,10.95,0.00
K1122,Overture - US,4.3E+16,discount airfare to italy,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,29.00,20.04,0.69,413.00,0.07,1.72,0.00,0.00,0.00,20.04,0.00
K1123,Overture - Global,4.3E+16,cheap flight to perpignan,Standard,Unassigned,Unassigned,perpignan,Position 1-2 Target,Unassigned,Paused,0.34,2.00,0.76,0.38,74.00,0.03,1.82,0.00,0.00,0.00,0.76,0.00
K1123,Overture - Global,4.3E+16,clermont ferrand flight,Standard,Unassigned,Unassigned,clermont,Position 1-2 Target,Unassigned,Paused,0.35,2.00,1.05,0.53,300.00,0.01,2.37,0.00,0.00,0.00,1.05,0.00
K1123,Overture - Global,4.3E+16,flight france nice,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Unassigned,Paused,0.35,22.00,16.56,0.75,681.00,0.03,2.47,0.00,0.00,0.00,16.56,0.00
K1122,Overture - US,4.3E+16,cologne airport,Advanced,Unassigned,Unassigned,cologne,Position 5-10 Bid Strategy,Unassigned,Paused,0.35,2.00,0.45,0.23,294.00,0.01,2.66,0.00,0.00,0.00,0.45,0.00
K1122,Overture - US,4.3E+16,international airfare deal,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.35,3.00,1.55,0.52,245.00,0.01,2.50,0.00,0.00,0.00,1.55,0.00
K1122,Overture - US,4.3E+16,airline ticket to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.35,9.00,7.10,0.79,105.00,0.09,1.98,0.00,0.00,0.00,7.10,0.00
K1123,Overture - Global,4.3E+16,air ticket nice,Advanced,Unassigned,Unassigned,nice,Position 1-2 Target,Unassigned,Paused,0.36,1.00,0.44,0.44,197.00,0.01,1.23,0.00,0.00,0.00,0.44,0.00
K1123,Overture - Global,4.3E+16,paris flight prices,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Unassigned,Paused,0.36,4.00,1.95,0.49,226.00,0.02,2.50,0.00,0.00,0.00,1.95,0.00
K1123,Overture - Global,4.3E+16,low cost airline france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.36,8.00,2.86,0.36,1225.00,0.01,3.54,0.00,0.00,0.00,2.86,0.00
K1123,Overture - Global,4.3E+16,south france travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.36,19.00,12.61,0.66,837.00,0.02,1.50,0.00,0.00,0.00,12.61,0.00
K1123,Overture - Global,4.3E+16,cheapest flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.36,29.00,14.19,0.49,568.00,0.05,1.92,0.00,0.00,0.00,14.19,0.00
K1123,Overture - Global,4.3E+16,visit paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.36,37.00,14.67,0.40,3770.00,0.01,1.93,0.00,0.00,0.00,14.67,0.00
K1123,Overture - Global,4.3E+16,lourdes flight,Standard,Unassigned,Unassigned,lourdes,Position 1-2 Target,Unassigned,Paused,0.36,54.00,20.81,0.39,993.00,0.05,1.80,0.00,0.00,0.00,20.81,0.00
K1122,Overture - US,4.3E+16,stuttgart airport,Advanced,Unassigned,Unassigned,stuttgart,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,1.00,0.33,0.33,711.00,0.00,3.90,0.00,0.00,0.00,0.33,0.00
K1122,Overture - US,4.3E+16,international travel airfare,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,1.00,0.48,0.48,245.00,0.00,2.88,0.00,0.00,0.00,0.48,0.00
K1122,Overture - US,4.3E+16,munich airline,Advanced,Unassigned,Unassigned,munich,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,2.00,0.50,0.25,1584.00,0.00,2.19,0.00,0.00,0.00,0.50,0.00
K1122,Overture - US,4.3E+16,air travel rate,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,1.00,0.51,0.51,537.00,0.00,3.76,0.00,0.00,0.00,0.51,0.00
K1122,Overture - US,4.3E+16,airline ticket venice,Advanced,Unassigned,Unassigned,venice,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.36,1.00,0.51,0.51,60.00,0.02,3.60,0.00,0.00,0.00,0.51,0.00
K1122,Overture - US,4.3E+16,air fair ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,2.00,0.85,0.43,589.00,0.00,3.35,0.00,0.00,0.00,0.85,0.00
K1122,Overture - US,4.3E+16,international discount travel,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,7.00,4.97,0.71,1451.00,0.00,2.46,0.00,0.00,0.00,4.97,0.00
K1122,Overture - US,4.3E+16,discount airfare germany,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,16.00,11.68,0.73,404.00,0.04,2.17,0.00,0.00,0.00,11.68,0.00
K1122,Overture - US,4.3E+16,cheap airfare to greece,Advanced,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,30.00,23.99,0.80,435.00,0.07,1.96,0.00,0.00,0.00,23.99,0.00
K1122,Overture - US,4.3E+16,cheap airfare to italy,Advanced,Unassigned,Unassigned,italy,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,79.00,61.99,0.78,940.00,0.08,1.55,0.00,0.00,0.00,61.99,0.00
K1122,Overture - US,4.3E+16,airfare to spain,Advanced,Unassigned,Unassigned,spain,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,69.00,70.54,1.02,837.00,0.08,1.38,0.00,0.00,0.00,70.54,0.00
K1123,Overture - Global,4.3E+16,travel to montpellier,Standard,Unassigned,Unassigned,montpellier,Position 1-2 Target,Unassigned,Paused,0.38,1.00,0.44,0.44,366.00,0.00,1.56,0.00,0.00,0.00,0.44,0.00
K1123,Overture - Global,4.3E+16,air europe france travel,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,2.00,0.83,0.41,1224.00,0.00,1.65,0.00,0.00,0.00,0.83,0.00
K1123,Overture - Global,4.3E+16,business france in travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,5.00,1.53,0.31,415.00,0.01,1.59,0.00,0.00,0.00,1.53,0.00
K1123,Overture - Global,4.3E+16,paris france tourism,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.38,7.00,2.77,0.40,2814.00,0.00,3.78,0.00,0.00,0.00,2.77,0.00
K1123,Overture - Global,4.3E+16,paris airfare special,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.38,6.00,3.04,0.51,76.00,0.08,3.14,0.00,0.00,0.00,3.04,0.00
K1123,Overture - Global,4.3E+16,cheap trip to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,10.00,3.96,0.40,399.00,0.03,2.84,0.00,0.00,0.00,3.96,0.00
K1123,Overture - Global,4.3E+16,europe france travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,12.00,4.54,0.38,9077.00,0.00,1.25,0.00,0.00,0.00,4.54,0.00
K1123,Overture - Global,4.3E+16,low cost flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.38,9.00,6.95,0.77,482.00,0.02,2.52,0.00,0.00,0.00,6.95,0.00
K1123,Overture - Global,4.3E+16,air cheap france ticket,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,18.00,10.90,0.61,1328.00,0.01,2.46,0.00,0.00,0.00,10.90,0.00
K1122,Overture - US,4.3E+16,airline ticket reservation online,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,1.00,0.16,0.16,132.00,0.01,3.11,0.00,0.00,0.00,0.16,0.00
K1122,Overture - US,4.3E+16,cheap air fare to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.38,2.00,0.86,0.43,121.00,0.02,2.66,0.00,0.00,0.00,0.86,0.00
K1122,Overture - US,4.3E+16,airline travel fare,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,3.00,1.09,0.36,5638.00,0.00,2.31,0.00,0.00,0.00,1.09,0.00
K1122,Overture - US,4.3E+16,airfare geneva,Advanced,Unassigned,Unassigned,geneva,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,4.00,2.85,0.71,85.00,0.05,2.39,0.00,0.00,0.00,2.85,0.00
K1122,Overture - US,4.3E+16,airline search,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,5.00,3.03,0.61,1884.00,0.00,4.63,0.00,0.00,0.00,3.03,0.00
K1122,Overture - US,4.3E+16,air fare to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.38,6.00,3.19,0.53,451.00,0.01,1.74,0.00,0.00,0.00,3.19,0.00
K1122,Overture - US,4.3E+16,international air flight,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,10.00,5.68,0.57,546.00,0.02,2.98,0.00,0.00,0.00,5.68,0.00
K1122,Overture - US,4.3E+16,international fare,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,16.00,13.99,0.87,871.00,0.02,4.04,0.00,0.00,0.00,13.99,0.00
K1122,Overture - US,4.3E+16,greece airline,Advanced,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,44.00,19.12,0.43,2693.00,0.02,4.24,0.00,0.00,0.00,19.12,0.00
K1123,Overture - Global,4.3E+16,discounted flight paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.39,2.00,0.95,0.48,146.00,0.01,2.22,0.00,0.00,0.00,0.95,0.00
K1123,Overture - Global,4.3E+16,travel in paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.39,10.00,3.79,0.38,712.00,0.01,2.07,0.00,0.00,0.00,3.79,0.00
K1122,Overture - US,4.3E+16,airplane ticket deal,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,3.00,1.92,0.64,138.00,0.02,2.29,0.00,0.00,0.00,1.92,0.00
K1122,Overture - US,4.3E+16,airline athens ticket,Advanced,Unassigned,Unassigned,athens,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,5.00,4.14,0.83,125.00,0.04,2.66,0.00,0.00,0.00,4.14,0.00
K1122,Overture - US,4.3E+16,airline milan ticket,Advanced,Unassigned,Unassigned,milan,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.39,5.00,4.51,0.90,74.00,0.07,3.83,0.00,0.00,0.00,4.51,0.00
K1122,Overture - US,4.3E+16,international ticket,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,38.00,25.46,0.67,2118.00,0.02,3.83,0.00,0.00,0.00,25.46,0.00
K1122,Overture - US,4.3E+16,cheap airfare to germany,Advanced,Unassigned,Unassigned,germany,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,57.00,40.26,0.71,866.00,0.07,1.56,0.00,0.00,0.00,40.26,0.00
K1122,Overture - US,4.3E+16,india cheap ticket,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,302.00,207.24,0.69,5144.00,0.06,2.42,0.00,0.00,0.00,207.24,0.00
K1122,Overture - US,4.3E+16,air line flight,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.40,1.00,0.33,0.33,590.00,0.00,3.49,0.00,0.00,0.00,0.33,0.00
K1122,Overture - US,4.3E+16,cheap airfare to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.40,4.00,1.74,0.43,274.00,0.01,2.22,0.00,0.00,0.00,1.74,0.00
K1122,Overture - US,4.3E+16,airline flight prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.40,6.00,3.15,0.53,789.00,0.01,3.05,0.00,0.00,0.00,3.15,0.00
K1122,Overture - US,4.3E+16,discount airfare spain,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,0.40,11.00,11.96,1.09,241.00,0.05,1.45,0.00,0.00,0.00,11.96,0.00
K1123,Overture - Global,4.3E+16,paris air,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.41,40.00,17.08,0.43,4182.00,0.01,4.22,0.00,0.00,0.00,17.08,0.00
K1123,Overture - Global,4.3E+16,air france vacation,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.41,97.00,72.05,0.74,5132.00,0.02,1.65,0.00,0.00,0.00,72.05,0.00
K1122,Overture - US,4.3E+16,cheap flight special,Advanced,Unassigned,Unassigned,flight,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,1.00,0.41,0.41,87.00,0.01,3.09,0.00,0.00,0.00,0.41,0.00
K1122,Overture - US,4.3E+16,airline ticket pricing,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,1.00,0.41,0.41,662.00,0.00,5.24,0.00,0.00,0.00,0.41,0.00
K1122,Overture - US,4.3E+16,air fare rate,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,2.00,2.00,1.00,200.00,0.01,3.13,0.00,0.00,0.00,2.00,0.00
K1122,Overture - US,4.3E+16,airfare cheap discount international,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,14.00,17.17,1.23,901.00,0.02,2.93,0.00,0.00,0.00,17.17,0.00
K1122,Overture - US,4.3E+16,greece ticket,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,37.00,27.31,0.74,864.00,0.04,2.39,0.00,0.00,0.00,27.31,0.00
K1123,Overture - Global,4.3E+16,budget travel france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.43,3.00,1.44,0.48,415.00,0.01,3.07,0.00,0.00,0.00,1.44,0.00
K1123,Overture - Global,4.3E+16,bargain flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.43,6.00,2.70,0.45,148.00,0.04,2.17,0.00,0.00,0.00,2.70,0.00
K1122,Overture - US,4.3E+16,air cheap france ticket,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.43,5.00,3.25,0.65,368.00,0.01,2.54,0.00,0.00,0.00,3.25,0.00
K1122,Overture - US,4.3E+16,air travel web site,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.43,5.00,4.15,0.83,929.00,0.01,3.74,0.00,0.00,0.00,4.15,0.00
K1122,Overture - US,4.3E+16,air ticket sale,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.43,7.00,7.29,1.04,683.00,0.01,3.25,0.00,0.00,0.00,7.29,0.00
K1122,Overture - US,4.3E+16,cheap fare to paris,Standard,Unassigned,Unassigned,paris,Position 1-4 Bid Strategy,Unassigned,Paused,0.43,12.00,9.71,0.81,173.00,0.07,4.88,0.00,0.00,0.00,9.71,0.00
K1122,Overture - US,4.3E+16,cheap airfare travel,Advanced,Unassigned,Unassigned,airfare,Position 5-10 Bid Strategy,Unassigned,Paused,0.44,2.00,1.76,0.88,4240.00,0.00,1.24,0.00,0.00,0.00,1.76,0.00
K1122,Overture - US,4.3E+16,air travel prices,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.44,2.00,1.85,0.93,868.00,0.00,3.19,0.00,0.00,0.00,1.85,0.00
K1122,Overture - US,4.3E+16,cheap flight paris london,Advanced,Unassigned,Unassigned,paris,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.44,6.00,2.10,0.35,627.00,0.01,3.72,0.00,0.00,0.00,2.10,0.00
K1122,Overture - US,4.3E+16,berlin airline,Advanced,Unassigned,Unassigned,berlin,Position 5-10 Bid Strategy,Unassigned,Paused,0.44,11.00,4.40,0.40,990.00,0.01,4.94,0.00,0.00,0.00,4.40,0.00
K1122,Overture - US,4.3E+16,cheap paris vacation,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.44,8.00,5.91,0.74,140.00,0.06,2.62,0.00,0.00,0.00,5.91,0.00
K1122,Overture - US,4.3E+16,cheap flight to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.44,15.00,14.51,0.97,375.00,0.04,2.15,0.00,0.00,0.00,14.51,0.00
K1123,Overture - Global,4.3E+16,chicago to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.45,14.00,5.99,0.43,2315.00,0.01,4.48,0.00,0.00,0.00,5.99,0.00
K1123,Overture - Global,4.3E+16,air france reservation online,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.45,29.00,11.92,0.41,6604.00,0.00,1.93,0.00,0.00,0.00,11.92,0.00
K1122,Overture - US,4.3E+16,budget travel france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.45,1.00,0.41,0.41,111.00,0.01,4.31,0.00,0.00,0.00,0.41,0.00
K1122,Overture - US,4.3E+16,paris airfare deal,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.45,1.00,0.60,0.60,90.00,0.01,1.99,0.00,0.00,0.00,0.60,0.00
K1122,Overture - US,4.3E+16,boston to london,Advanced,Unassigned,Unassigned,boston,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,2.00,1.03,0.51,70.00,0.03,2.05,0.00,0.00,0.00,1.03,0.00
K1122,Overture - US,4.3E+16,athens airline,Advanced,Unassigned,Unassigned,athens,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,3.00,1.35,0.45,215.00,0.01,2.92,0.00,0.00,0.00,1.35,0.00
K1122,Overture - US,4.3E+16,air fare deal,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,4.00,2.10,0.53,624.00,0.01,4.50,0.00,0.00,0.00,2.10,0.00
K1122,Overture - US,4.3E+16,air fare ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,17.00,20.67,1.22,2114.00,0.01,3.59,0.00,0.00,0.00,20.67,0.00
K1122,Overture - US,4.3E+16,india cheap airfare,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,60.00,39.59,0.66,1504.00,0.04,3.09,0.00,0.00,0.00,39.59,0.00
K1122,Overture - US,4.3E+16,international air travel,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,81.00,83.60,1.03,4047.00,0.02,2.74,0.00,0.00,0.00,83.60,0.00
K1122,Overture - US,4.3E+16,discount paris vacation,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.46,2.00,1.45,0.73,112.00,0.02,3.45,0.00,0.00,0.00,1.45,0.00
K1122,Overture - US,4.3E+16,air travel discount airline ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,6.00,3.19,0.53,1951.00,0.00,3.69,0.00,0.00,0.00,3.19,0.00
K1122,Overture - US,4.3E+16,airplane fare,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,8.00,5.16,0.65,1681.00,0.00,3.06,0.00,0.00,0.00,5.16,0.00
K1122,Overture - US,4.3E+16,trip to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.46,11.00,7.15,0.65,172.00,0.06,2.74,0.00,0.00,0.00,7.15,0.00
K1122,Overture - US,4.3E+16,air france ticket,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.46,18.00,10.75,0.60,1013.00,0.02,1.93,0.00,0.00,0.00,10.75,0.00
K1122,Overture - US,4.3E+16,air travel fare,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,20.00,20.99,1.05,2904.00,0.01,3.29,0.00,0.00,0.00,20.99,0.00
K1122,Overture - US,4.3E+16,flight to rome italy,Advanced,Unassigned,Unassigned,flight,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,59.00,33.50,0.57,530.00,0.11,1.77,0.00,0.00,0.00,33.50,0.00
K1123,Overture - Global,4.3E+16,caen flight,Standard,Unassigned,Unassigned,caen,Position 1-2 Target,Unassigned,Paused,0.48,7.00,3.17,0.45,480.00,0.01,1.73,0.00,0.00,0.00,3.17,0.00
K1123,Overture - Global,4.3E+16,travel to marseille,Standard,Unassigned,Unassigned,marseille,Position 1-2 Target,Unassigned,Paused,0.48,8.00,4.14,0.52,2417.00,0.00,2.10,0.00,0.00,0.00,4.14,0.00
K1123,Overture - Global,4.3E+16,discount france travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.48,6.00,5.24,0.87,322.00,0.02,2.34,0.00,0.00,0.00,5.24,0.00
K1123,Overture - Global,4.3E+16,travel to lourdes,Standard,Unassigned,Unassigned,lourdes,Position 1-2 Target,Unassigned,Paused,0.48,24.00,10.94,0.46,947.00,0.03,2.66,0.00,0.00,0.00,10.94,0.00
K1122,Overture - US,4.3E+16,lowest airfare to paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.48,1.00,0.70,0.70,41.00,0.02,2.15,0.00,0.00,0.00,0.70,0.00
